id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine
18,"Regnard (Jean-François)","Démocrite amoureux","comédie",5,f,"vers",f
3603,"Rousseau (Pierre, de Toulouse)","Méprises (Les)","comédie",1,f,"vers libres",t
4909,"Regnard (Jean-François)","Démocrite amoureux","comédie",5,f,"vers",f
4969,"Corneille (Thomas)","Comtesse d'Orgueil (La)","comédie",5,f,"vers",f
5022,"Fagan (Barthélemy-Christophe)","Pupille (La)","comédie",1,f,"prose",t
5081,"Dancourt (Florent Carton dit)","Chevalier à la mode (Le)","comédie",5,f,"prose",f
5087,"Hauteroche (Noël Lebreton, sieur de)","Cocher supposé (Le)","comédie",1,f,"prose",f
5204,"Destouches","Triple mariage (Le)","comédie",1,f,"prose",t
5206,"Dancourt (Florent Carton dit)","Tuteur amoureux (Le) ou Le Tuteur","comédie",1,f,"prose",f
5207,"Dancourt (Florent Carton dit)","Tuteur amoureux (Le) ou Le Tuteur","comédie",1,f,"prose",f
5247,"La Chapelle (Jean de)","Carosses d'Orléans (Les)","comédie",1,f,"prose",f
5285,"Rousseau (Pierre, de Toulouse)","Méprises (Les)","comédie",1,f,"vers libres",t
5303,"Dancourt (Florent Carton dit)","Trois cousines (Les)","comédie",3,t,"prose",t
5304,"La Font (Joseph de)","Trois frères rivaux (Les)","comédie",1,f,"vers",f
5315,"Du Fresny (Charles)","Esprit de contradiction (L')","comédie",1,f,"prose",f
5317,"Dancourt (Florent Carton dit)","Été des coquettes (L')","comédie",1,f,"prose",f
5394,"Genest (Charles-Claude)","Pénélope","tragédie",5,f,"vers",f
5419,"Du Ryer (Pierre)","Scévole","tragédie",5,f,"vers",f
5435,"Corneille (Thomas)","Inconnu (L')","comédie",5,t,"vers",t
5451,"Corneille (Thomas)","Inconnu (L')","comédie",5,t,"vers",t
5560,"Dancourt (Florent Carton dit)","Été des coquettes (L')","comédie",1,f,"prose",f
5571,"Corneille (Thomas)","Inconnu (L')","comédie",5,t,"vers",t
5589,"Corneille (Thomas)","Comtesse d'Orgueil (La)","comédie",5,f,"vers",f
5670,"Dancourt (Florent Carton dit)","Chevalier à la mode (Le)","comédie",5,f,"prose",f
5673,"Hauteroche (Noël Lebreton, sieur de)","Cocher supposé (Le)","comédie",1,f,"prose",f
5760,"La Chapelle (Jean de)","Carosses d'Orléans (Les)","comédie",1,f,"prose",f
5819,"Genest (Charles-Claude)","Pénélope","tragédie",5,f,"vers",f
5837,"Du Ryer (Pierre)","Scévole","tragédie",5,f,"vers",f
900,"Regnard (Jean-François)","Démocrite amoureux","comédie",5,f,"vers",f
1344,"Fagan (Barthélemy-Christophe)","Pupille (La)","comédie",1,f,"prose",t
1345,"La Font (Joseph de)","Trois frères rivaux (Les)","comédie",1,f,"vers",f
1346,"Destouches","Triple mariage (Le)","comédie",1,f,"prose",t
1347,"Dancourt (Florent Carton dit)","Trois cousines (Les)","comédie",3,t,"prose",t
1350,"Du Fresny (Charles)","Esprit de contradiction (L')","comédie",1,f,"prose",f
