rcf_id|lagrange_author_ext_id
1|715
15|7
18|3427
19|3159
21|AUT00002418
31|3191
35|3521
37|298
45|3014
46|3731
47|3481
49|3368
50|2866
51|265
53|3577
56|2792
58|3634
59|3626
64|3146
71|52
73|3697
76|2796
79|AUT00001273
82|3377
89|2672
90|64
91|67
92|3639
98|3106
98|AUT00001263
99|3621
105|AUT00004516
108|8022
110|1201
115|3157
118|3259
121|3719
123|2686
126|57
127|3701
139|3685
147|2970
151|576
153|3623
157|2971
159|3416
160|4036
167|169
169|AUT00002408
172|3259
184|3322
185|8044
189|3927
224|3224
226|3827
238|AUT00001198
242|284
255|2914
264|3199
273|2971
302|7933
326|2926
2|96
5|944
14|2901
90|64
